iso_alpha_3_code,Country,Region,Income group,Year,MMR,LiveBirths
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2012.646,0.0119737636559562,8718478.97799999
AGO,Angola,Sub-Saharan Africa,Lower middle income,2012.701,0.0032751784650678,7717433.451
ALB,Albania,Europe & Central Asia,Upper middle income,2010.5,0.0,36236.0
AND,Andorra,Europe & Central Asia,High income,2020.5,0.0,529.0
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2020.5,5.09080707875783e-05,98881.0
ARG,Argentina,Latin America & Caribbean,Upper middle income,2022.5,0.000357727456472,496115.0
ARM,Armenia,Europe & Central Asia,Upper middle income,2022.5,0.0002071455919301,34510.0
ATG,Antigua And Barbuda,Latin America & Caribbean,High income,2021.5,0.0,1121.0
AUS,Australia,East Asia & Pacific,High income,2022.5,1.97760689789286e-05,303397.0
AUT,Austria,Europe & Central Asia,High income,2023.5,2.40038608759436e-05,77054.0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2007.5,0.0002476306337642,163293.0
BDI,Burundi,Sub-Saharan Africa,Low income,2013.679,0.0055285556892775,3177723.833
BEL,Belgium,Europe & Central Asia,High income,2021.5,5.08174850998971e-05,117668.0
BEN,Benin,Sub-Saharan Africa,Lower middle income,2014.333333,0.0073178884644325,3009901.311352
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2018.0,0.0046329272793876,5142596.5
BGD,Bangladesh,South Asia,Lower middle income,2020.5,0.00163,3374090.0
BGR,Bulgaria,Europe & Central Asia,High income,2023.5,8.22334607951977e-05,62645.0
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,2023.5,0.0,19558.0
BHS,"Bahamas, The",Latin America & Caribbean,High income,2015.5,0.0009105147021985,4858.0
BIH,Bosnia And Herzegovina,Europe & Central Asia,Upper middle income,2022.5,0.0001363392119593,24831.0
BLR,Belarus,Europe & Central Asia,Upper middle income,2019.5,1.15367280030667e-05,87652.0
BLZ,Belize,Latin America & Caribbean,Upper middle income,2020.5,0.0005720823798627,7173.0
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2011.5,0.0016,261007.0
